id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
64,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで　,0.054,0.009,0.32,0,0.0006,0.0003,0.006,0.0028,0.0002,0,0,0,0
65,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生　,0.078,0.019,0.469,0,0.0005,0.0004,0.011,0.0027,0.0005,0,0,-,0
66,こむぎ　［ふ類］　生ふ　　,0.127,0.008,0.262,0,0.0008,0.0003,0.005,0.0012,0.0002,0,0,0,0
67,こむぎ　［ふ類］　焼きふ　釜焼きふ　,0.285,0.027,0.569,0,0.0016,0.0007,0.035,0.0058,0.0008,0,0,0,0
68,こむぎ　［ふ類］　焼きふ　板ふ　,0.256,0.033,0.573,0,0.002,0.0008,0.036,0.0079,0.0016,0,0,0,0
69,こむぎ　［ふ類］　焼きふ　車ふ　,0.302,0.034,0.542,0,0.0012,0.0007,0.029,0.0047,0.0007,0,0,0,0
70,こむぎ　［その他］　小麦はいが　　,0.32,0.116,0.483,0.05,0.0182,0.0071,0.042,0.0134,0.0124,0,0,0,0.02
71,こむぎ　［その他］　小麦たんぱく　粉末状　,0.72,0.097,0.106,0.01,0.0003,0.0012,0.035,0.0061,0.001,0,0,0,0
72,こむぎ　［その他］　小麦たんぱく　粒状　,0.2,0.02,0.018,0,0.0002,0.0001,0.012,0,0.0001,0,0,0,0
73,こむぎ　［その他］　小麦たんぱく　ペースト状　,0.25,0.041,0.039,0.01,0.002,0.0003,0.027,0.0045,0.0004,0,0,0,0
74,こむぎ　［その他］　ぎょうざの皮　　,0.093,0.014,0.57,0,0.0008,0.0004,0.007,0.0061,0.0006,0,0,0,0
75,こむぎ　［その他］　しゅうまいの皮　　,0.083,0.014,0.589,0,0.0009,0.0004,0.006,0.005,0.0005,0,0,0,0
76,こむぎ　［その他］　ピザ生地　,0.091,0.03,0.511,0,0.0015,0.0011,0.01,0.0054,0.0005,0,0,0,0
77,こむぎ　［その他］　ちくわぶ　　,0.071,0.012,0.311,0,0.0001,0.0002,0.003,0.0025,0.0001,0,0,0,0
78,こむぎ　［その他］　パン粉　生　,0.11,0.051,0.476,0,0.0011,0.0002,0.012,0.0041,0.0005,0,0,0,(Tr)
79,こむぎ　［その他］　パン粉　半生　,0.125,0.058,0.543,0,0.0013,0.0003,0.014,0.0047,0.0006,0,0,0,(Tr)
80,こむぎ　［その他］　パン粉　乾燥　,0.146,0.068,0.634,0,0.0015,0.0003,0.016,0.0054,0.0007,0,0,0,0
81,こむぎ　［その他］　冷めん　生　,0.039,0.007,0.576,0,0.0004,Tr,0.004,0.0011,0.0002,0,0,-,0
82,こめ　［水稲穀粒］　玄米　　,0.068,0.027,0.743,0,0.0041,0.0004,0.063,0.0137,0.0045,0,0,0,0
83,こめ　［水稲穀粒］　半つき米　　,0.065,0.018,0.759,0,0.003,0.0003,0.035,0.01,0.0028,0,0,0,0
84,こめ　［水稲穀粒］　七分つき米　　,0.063,0.015,0.766,0,0.0024,0.0003,0.017,0.0084,0.002,0,0,0,0
85,こめ　［水稲穀粒］　精白米　うるち米　,0.061,0.009,0.776,0,0.0008,0.0002,0.012,0.0066,0.0012,0,0,0,0
86,こめ　［水稲穀粒］　精白米　もち米　,0.064,0.012,0.772,0,0.0012,0.0002,0.016,-0.0066,-0.0012,0,0,0,0
87,こめ　［水稲穀粒］　精白米　インディカ米　,0.075,0.008,0.791,0,0.0006,0.0002,0.011,0.0069,0.0008,0,0,0,0
88,こめ　［水稲穀粒］　はいが精米　　,0.065,0.02,0.758,0,0.0023,0.0003,0.031,0.01,0.0022,0,0,0,0
89,こめ　［水稲穀粒］　発芽玄米　　,0.065,0.033,0.743,0,0.0035,0.0002,0.049,0.0075,0.0034,0,0,0,0
90,こめ　［水稲めし］　玄米　　,0.028,0.01,0.356,0,0.0016,0.0002,0.029,0.0065,0.0021,0,0,0,0
91,こめ　［水稲めし］　半つき米　　,0.027,0.006,0.364,0,0.0008,0.0001,0.016,0.0035,0.0007,0,0,0,0
92,こめ　［水稲めし］　七分つき米　　,0.026,0.005,0.367,0,0.0006,0.0001,0.008,0.0026,0.0003,0,0,0,0
93,こめ　［水稲めし］　精白米　うるち米　,0.025,0.003,0.371,0,0.0002,0.0001,0.002,0.0025,0.0002,0,0,0,0
94,こめ　［水稲めし］　精白米　もち米　,0.035,0.005,0.439,0,0.0003,0.0001,0.002,-0.003,-0.0002,0,0,0,0
95,こめ　［水稲めし］　はいが精米　　,0.027,0.006,0.364,0,0.0008,0.0001,0.008,0.0044,0.0009,0,0,0,0
96,こめ　［水稲めし］　発芽玄米　　,0.03,0.014,0.35,0,0.0013,0.0001,0.02,0.0036,0.0013,0,0,0,0
97,こめ　［水稲全かゆ］　玄米　　,0.012,0.004,0.152,0,0.0007,0.0001,0.012,0.0028,0.0009,0,0,0,0
98,こめ　［水稲全かゆ］　半つき米　　,0.011,0.003,0.155,0,0.0003,Tr,0.007,0.0015,0.0003,0,0,0,0
99,こめ　［水稲全かゆ］　七分つき米　　,0.011,0.002,0.156,0,0.0003,Tr,0.003,0.0011,0.0001,0,0,0,0
100,こめ　［水稲全かゆ］　精白米　　,0.011,0.001,0.157,0,0.0001,Tr,0.001,0.0011,0.0001,0,0,0,0
101,こめ　［水稲五分かゆ］　玄米　　,0.006,0.002,0.076,0,0.0003,Tr,0.006,0.0014,0.0005,0,0,0,0
102,こめ　［水稲五分かゆ］　半つき米　　,0.006,0.001,0.077,0,0.0002,Tr,0.003,0.0007,0.0001,0,0,0,0
103,こめ　［水稲五分かゆ］　七分つき米　　,0.006,0.001,0.077,0,0.0001,Tr,0.002,0.0005,0.0001,0,0,0,0
104,こめ　［水稲五分かゆ］　精白米　　,0.005,0.001,0.079,0,Tr,Tr,Tr,0.0005,Tr,0,0,0,0
105,こめ　［水稲おもゆ］　玄米　　,0.004,0.001,0.044,0,0.0002,Tr,0.004,0.0008,0.0003,0,0,0,0
106,こめ　［水稲おもゆ］　半つき米　　,0.003,0.001,0.046,0,0.0001,Tr,0.002,0.0004,0.0001,0,0,0,0
107,こめ　［水稲おもゆ］　七分つき米　　,0.003,0.001,0.046,0,0.0001,Tr,0.001,0.0003,Tr,0,0,0,0
108,こめ　［水稲おもゆ］　精白米　　,0.003,0,0.047,0,Tr,Tr,Tr,0.0003,Tr,0,0,0,0
109,こめ　［陸稲穀粒］　玄米　　,0.101,0.027,0.711,0,0.0041,0.0004,0.063,0.0137,0.0045,0,0,0,0
110,こめ　［陸稲穀粒］　半つき米　　,0.096,0.018,0.729,0,0.003,0.0003,0.049,0.01,0.0028,0,0,0,0
111,こめ　［陸稲穀粒］　七分つき米　　,0.095,0.015,0.734,0,0.0024,0.0003,0.034,0.0084,0.002,0,0,0,0
112,こめ　［陸稲穀粒］　精白米　　,0.093,0.009,0.745,0,0.0008,0.0002,0.012,0.0066,0.0012,0,0,0,0
