id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
79,こむぎ　［その他］　パン粉　半生　,12.5,5.8,54.3,0,0.13,0.03,1.4,0.47,0.06,0,0,0,(Tr)
80,こむぎ　［その他］　パン粉　乾燥　,14.6,6.8,63.4,0,0.15,0.03,1.6,0.54,0.07,0,0,0,0
81,こむぎ　［その他］　冷めん　生　,3.9,0.7,57.6,0,0.04,Tr,0.4,0.11,0.02,0,0,-,0
82,こめ　［水稲穀粒］　玄米　　,6.8,2.7,74.3,0,0.41,0.04,6.3,1.37,0.45,0,0,0,0
83,こめ　［水稲穀粒］　半つき米　　,6.5,1.8,75.9,0,0.3,0.03,3.5,1,0.28,0,0,0,0
84,こめ　［水稲穀粒］　七分つき米　　,6.3,1.5,76.6,0,0.24,0.03,1.7,0.84,0.2,0,0,0,0
85,こめ　［水稲穀粒］　精白米　うるち米　,6.1,0.9,77.6,0,0.08,0.02,1.2,0.66,0.12,0,0,0,0
86,こめ　［水稲穀粒］　精白米　もち米　,6.4,1.2,77.2,0,0.12,0.02,1.6,-0.66,-0.12,0,0,0,0
87,こめ　［水稲穀粒］　精白米　インディカ米　,7.5,0.8,79.1,0,0.06,0.02,1.1,0.69,0.08,0,0,0,0
88,こめ　［水稲穀粒］　はいが精米　　,6.5,2,75.8,0,0.23,0.03,3.1,1,0.22,0,0,0,0
89,こめ　［水稲穀粒］　発芽玄米　　,6.5,3.3,74.3,0,0.35,0.02,4.9,0.75,0.34,0,0,0,0
90,こめ　［水稲めし］　玄米　　,2.8,1,35.6,0,0.16,0.02,2.9,0.65,0.21,0,0,0,0
91,こめ　［水稲めし］　半つき米　　,2.7,0.6,36.4,0,0.08,0.01,1.6,0.35,0.07,0,0,0,0
92,こめ　［水稲めし］　七分つき米　　,2.6,0.5,36.7,0,0.06,0.01,0.8,0.26,0.03,0,0,0,0
93,こめ　［水稲めし］　精白米　うるち米　,2.5,0.3,37.1,0,0.02,0.01,0.2,0.25,0.02,0,0,0,0
94,こめ　［水稲めし］　精白米　もち米　,3.5,0.5,43.9,0,0.03,0.01,0.2,-0.3,-0.02,0,0,0,0
95,こめ　［水稲めし］　はいが精米　　,2.7,0.6,36.4,0,0.08,0.01,0.8,0.44,0.09,0,0,0,0
96,こめ　［水稲めし］　発芽玄米　　,3,1.4,35,0,0.13,0.01,2,0.36,0.13,0,0,0,0
97,こめ　［水稲全かゆ］　玄米　　,1.2,0.4,15.2,0,0.07,0.01,1.2,0.28,0.09,0,0,0,0
98,こめ　［水稲全かゆ］　半つき米　　,1.1,0.3,15.5,0,0.03,Tr,0.7,0.15,0.03,0,0,0,0
99,こめ　［水稲全かゆ］　七分つき米　　,1.1,0.2,15.6,0,0.03,Tr,0.3,0.11,0.01,0,0,0,0
100,こめ　［水稲全かゆ］　精白米　　,1.1,0.1,15.7,0,0.01,Tr,0.1,0.11,0.01,0,0,0,0
101,こめ　［水稲五分かゆ］　玄米　　,0.6,0.2,7.6,0,0.03,Tr,0.6,0.14,0.05,0,0,0,0
